sysfiletype_id,sysfiletype_name,sysfiletype_extension,sysfiletype_category,sysfiletype_os,sysfiletype_binary_text,sysfiletype_user_editable,sysfiletype_criticality,sysfiletype_description,sysfiletype_typical_location
28,Compiled HTML Help,.chm,Documentation,Windows,Binary,No,Low,Compiled HTML Help file. Modern Windows help format with HTML content and search capabilities.,Various
29,Memory Dump,.dmp,Diagnostic,Windows,Binary,No,Medium,Crash dump or memory dump file. Contains system state information captured during crashes for debugging.,C:\Windows\Minidump\
30,Event Log,.evt,Logging,Windows,Binary,No,High,Legacy Windows event log format. Used in Windows 2000/XP/Server 2003.,C:\Windows\System32\winevt\Logs\
31,Event Log,.evtx,Logging,Windows,Binary,No,High,"Modern Windows event log format (Vista+). Contains system, security, and application events in XML-based format.",C:\Windows\System32\winevt\Logs\
32,System Information,.nfo,Diagnostic,Windows,Text,Yes,Low,"System information file. Often contains plain text system details, also used for NFO art.",Various
33,Microsoft Management Console,.msc,Administration,Windows,Binary,No,Medium,Management console snap-in file. Launches specific MMC administrative tools.,C:\Windows\System32\
34,PowerShell Script,.ps1,Scripting,Windows,Text,Yes,Medium,PowerShell script file. Contains PowerShell commands and scripts for automation.,Various
35,PowerShell Module,.psm1,Scripting,Windows,Text,Yes,Medium,PowerShell module file. Contains reusable PowerShell functions and cmdlets.,Various
36,PowerShell Data File,.psd1,Scripting,Windows,Text,Yes,Medium,PowerShell data file. Contains module manifests or configuration data in hashtable format.,Various
37,PowerShell XML,.ps1xml,Scripting,Windows,Text,Yes,Medium,PowerShell formatting and type definition file. Defines how objects are displayed.,Various
38,Batch File,.bat,Scripting,Windows,Text,Yes,Medium,DOS/Windows batch script. Contains series of commands executed by command interpreter.,Various
39,Command Script,.cmd,Scripting,Windows,Text,Yes,Medium,Windows NT command script. Similar to BAT but with enhanced features for NT-based systems.,Various
40,Visual Basic Script,.vbs,Scripting,Windows,Text,Yes,Medium,VBScript file. Contains Visual Basic scripting code executed by Windows Script Host.,Various
41,JScript File,.js,Scripting,Windows/Cross,Text,Yes,Medium,JavaScript file. Can be executed by Windows Script Host or web browsers.,Various
42,Windows Script File,.wsf,Scripting,Windows,Text,Yes,Medium,Windows Script Host file. XML-based script that can include multiple scripting languages.,Various
43,Windows Script Component,.wsc,Scripting,Windows,Text,Yes,Medium,Windows Script Component. COM component implemented in script.,Various
44,Cabinet Archive,.cab,Archive,Windows,Binary,No,Low,Windows cabinet archive. Compressed file format used for software distribution and updates.,Various
45,Setup Program,.msu,Installation,Windows,Binary,No,Medium,Microsoft Update Standalone Package. Contains Windows updates and hotfixes.,Various
46,Application Manifest,.manifest,Configuration,Windows,Text,Yes,Medium,"XML file describing application requirements, dependencies, and UAC elevation needs.",Various
47,Device Metadata,.devicemetadata-ms,Configuration,Windows,Binary,No,Low,"Device metadata package. Contains device icons, descriptions, and experience information.",C:\Windows\System32\DriverStore\
48,Profile,.profile,Configuration,Linux/Unix,Text,Yes,Low,"User shell profile script. Executed when user logs in, sets environment variables and preferences.",/home/username/
49,Bash Profile,.bash_profile,Configuration,Linux/Unix,Text,Yes,Low,Bash-specific login profile. Executed for login shells.,/home/username/
50,Bash RC,.bashrc,Configuration,Linux/Unix,Text,Yes,Medium,"Bash run commands file. Executed for interactive non-login shells, contains aliases and functions.",/home/username/
51,Shell Script,.sh,Scripting,Linux/Unix,Text,Yes,Medium,Shell script file. Contains shell commands for Unix/Linux automation.,Various
52,Executable and Linkable Format,No extension,Executable,Linux/Unix,Binary,No,Critical,ELF binary format. Standard executable format for Linux/Unix systems.,/bin/ /usr/bin/
53,Shared Object,.so,Library,Linux/Unix,Binary,No,Critical,Shared library file. Linux/Unix equivalent of Windows DLL.,/lib/ /usr/lib/
54,Archive Library,.a,Library,Linux/Unix,Binary,No,Medium,Static library archive. Contains object files that can be linked into programs.,/usr/lib/
55,Configuration File,.conf,Configuration,Linux/Unix,Text,Yes,High,Generic configuration file. Plain text file with settings for various Unix/Linux services.,/etc/
56,Init Configuration,.cfg,Configuration,Linux/Unix,Text,Yes,High,Configuration file format. Used by various system services and applications.,/etc/
57,RC File,.rc,Configuration,Linux/Unix,Text,Yes,Medium,Run commands file. Contains startup commands for various programs and services.,/etc/
58,Desktop Entry,.desktop,Configuration,Linux,Text,Yes,Low,Desktop environment application launcher. Defines how applications appear in menus.,/usr/share/applications/
59,Kernel Module,.ko,Driver,Linux,Binary,No,Critical,Linux kernel module. Loadable kernel module that extends kernel functionality without reboot.,/lib/modules/
60,Device File,.dev,Device,Linux/Unix,Special,No,Critical,Device special file. Provides interface to device drivers in the kernel.,/dev/
61,Process File,.proc,Virtual,Linux,Special,No,Critical,Virtual file in procfs. Provides interface to kernel data structures and process information.,/proc/
62,System File,.sys,Virtual,Linux,Special,No,Critical,Virtual file in sysfs. Exposes kernel objects and attributes.,/sys/
63,Init Script,.init,Service,Linux,Text,Yes,High,System V init script. Controls system services startup and shutdown.,/etc/init.d/
64,Systemd Unit,.service,Service,Linux,Text,Yes,High,Systemd service unit file. Defines how systemd manages a service.,/etc/systemd/system/
65,Systemd Socket,.socket,Service,Linux,Text,Yes,High,Systemd socket unit. Defines socket-based activation for services.,/etc/systemd/system/
66,Systemd Timer,.timer,Service,Linux,Text,Yes,Medium,"Systemd timer unit. Defines timer-based activation, replacement for cron.",/etc/systemd/system/
67,Systemd Target,.target,Service,Linux,Text,Yes,High,"Systemd target unit. Groups units together, similar to runlevels.",/etc/systemd/system/
68,Systemd Mount,.mount,Service,Linux,Text,Yes,High,Systemd mount unit. Defines filesystem mount points.,/etc/systemd/system/
69,Crontab File,.crontab,Scheduling,Linux/Unix,Text,Yes,Medium,Cron schedule file. Defines scheduled tasks with time-based job scheduling.,/etc/cron.d/
70,PAM Configuration,.pam,Security,Linux,Text,Yes,Critical,Pluggable Authentication Modules configuration. Controls authentication mechanisms.,/etc/pam.d/
71,Sudoers File,.sudoers,Security,Linux,Text,Yes,Critical,Sudo configuration file. Defines user privileges for running commands as other users.,/etc/
72,Shadow Password,.shadow,Security,Linux,Text,No,Critical,Shadow password file. Contains encrypted user passwords and aging information.,/etc/
73,Password File,.passwd,Security,Linux/Unix,Text,Yes,Critical,User account information file. Contains user account details (without passwords in modern systems).,/etc/
74,Group File,.group,Security,Linux/Unix,Text,Yes,High,Group information file. Defines user groups and memberships.,/etc/
75,Hosts File,.hosts,Network,Cross-platform,Text,Yes,Medium,Static hostname to IP address mappings. Overrides DNS for specified hosts.,/etc/ or C:\Windows\System32\drivers\etc\
76,Network Interfaces,.interfaces,Network,Linux,Text,Yes,High,Network configuration file. Defines network interface settings (Debian-based).,/etc/network/
77,Resolv Configuration,.resolv.conf,Network,Linux/Unix,Text,Yes,High,DNS resolver configuration. Specifies DNS servers for hostname resolution.,/etc/
78,Fstab File,.fstab,Storage,Linux/Unix,Text,Yes,Critical,Filesystem table. Defines automatic mount points and filesystem options at boot.,/etc/
79,Log File,.log,Logging,Cross-platform,Text,Yes,Medium,Generic log file. Contains timestamped entries of system or application events.,/var/log/ or C:\Windows\Logs\
80,Syslog File,.syslog,Logging,Linux/Unix,Text,Yes,Medium,System log file. Contains system-wide event messages.,/var/log/
81,Auth Log,.auth.log,Logging,Linux,Text,Yes,High,Authentication log. Records authentication attempts and security events.,/var/log/
82,Kernel Log,.kern.log,Logging,Linux,Text,Yes,High,Kernel log file. Contains kernel messages and hardware driver events.,/var/log/
83,Daemon Log,.daemon.log,Logging,Linux,Text,Yes,Medium,Daemon log file. Contains messages from system daemons.,/var/log/
84,Boot Log,.boot.log,Logging,Linux,Text,Yes,Medium,Boot process log. Contains messages from system boot sequence.,/var/log/
85,Journal File,.journal,Logging,Linux,Binary,No,High,Systemd journal file. Binary structured logging format for systemd systems.,/var/log/journal/
86,Property List,.plist,Configuration,macOS,Binary/Text,Yes,Medium,Property list file. XML or binary format used for configuration in macOS.,/Library/Preferences/
87,Bundle,.bundle,Application,macOS,Directory,No,Medium,macOS application bundle. Directory structure containing application resources.,/Applications/
88,App Bundle,.app,Application,macOS,Directory,No,Medium,macOS application package. Complete application in directory format.,/Applications/
89,Kernel Extension,.kext,Driver,macOS,Directory,No,Critical,macOS kernel extension. Driver or kernel module in bundle format.,/System/Library/Extensions/
90,Framework,.framework,Library,macOS,Directory,No,High,macOS framework. Dynamic library with resources in bundle format.,/System/Library/Frameworks/
91,Dylib,.dylib,Library,macOS,Binary,No,High,macOS dynamic library. Shared library similar to Linux .so or Windows .dll.,/usr/lib/
92,Mach-O,No extension,Executable,macOS,Binary,No,Critical,Mach Object executable format. Native executable format for macOS.,/usr/bin/
93,Launch Agent,.plist,Service,macOS,Text,Yes,High,Launch Agent configuration. Defines user-level background services in macOS.,/Library/LaunchAgents/
94,Launch Daemon,.plist,Service,macOS,Text,Yes,Critical,Launch Daemon configuration. Defines system-level background services in macOS.,/Library/LaunchDaemons/
95,Disk Image,.dmg,Archive,macOS,Binary,No,Low,Apple Disk Image. Mountable archive format for software distribution on macOS.,Various
96,Package,.pkg,Installation,macOS,Binary,No,Medium,macOS installer package. Contains files and installation scripts.,Various
97,Apple Installer,.mpkg,Installation,macOS,Binary,No,Medium,Meta-package for macOS. Contains multiple PKG packages.,Various
98,Core Data,.db,Database,Cross-platform,Binary,No,Medium,SQLite database file. Lightweight relational database file.,Various
99,Berkeley DB,.db,Database,Linux/Unix,Binary,No,Medium,Berkeley DB database. Key-value database file format.,Various
100,GDBM Database,.gdbm,Database,Linux/Unix,Binary,No,Medium,GNU DBM database. Hash-based database file.,Various
101,Certificate File,.crt,Security,Cross-platform,Text,No,High,X.509 certificate file. Contains public key certificate in PEM or DER format.,Various
102,Certificate,.cer,Security,Cross-platform,Binary,No,High,Certificate file. X.509 certificate in binary DER format.,Various
103,Privacy Enhanced Mail,.pem,Security,Cross-platform,Text,No,High,PEM format file. Contains certificates or private keys in Base64 encoded format.,Various
104,Distinguished Encoding Rules,.der,Security,Cross-platform,Binary,No,High,DER encoded certificate. Binary format for X.509 certificates.,Various
105,PKCS#12,.pfx,Security,Windows,Binary,No,Critical,Personal Information Exchange. Contains certificate and private key.,Various
106,PKCS#12,.p12,Security,Cross-platform,Binary,No,Critical,PKCS#12 certificate bundle. Contains certificate chain and private key.,Various
107,PKCS#7,.p7b,Security,Cross-platform,Binary,No,High,PKCS#7 certificate bundle. Contains certificates without private key.,Various
108,Certificate Signing Request,.csr,Security,Cross-platform,Text,No,Medium,Certificate Signing Request. Submitted to CA to request certificate.,Various
109,Key File,.key,Security,Cross-platform,Text,No,Critical,"Private key file. Contains cryptographic private key, usually in PEM format.",Various
110,Keystore,.jks,Security,Cross-platform,Binary,No,Critical,Java KeyStore. Contains certificates and private keys for Java applications.,Various
111,Trust Store,.truststore,Security,Cross-platform,Binary,No,High,Java trust store. Contains trusted CA certificates.,Various
112,OpenSSH Private Key,.ssh,Security,Linux/Unix,Text,No,Critical,OpenSSH private key. Used for SSH authentication.,~/.ssh/
113,Known Hosts,.known_hosts,Security,Linux/Unix,Text,Yes,Medium,SSH known hosts file. Contains public keys of known SSH servers.,~/.ssh/
114,Authorized Keys,.authorized_keys,Security,Linux/Unix,Text,Yes,High,SSH authorized keys. Contains public keys allowed to authenticate.,~/.ssh/
115,GPG Key,.gpg,Security,Linux/Unix,Binary,No,Critical,GnuPG key file. Contains encrypted data or keys.,Various
116,ASC Key,.asc,Security,Cross-platform,Text,No,High,ASCII-armored GPG key. Contains GPG key or signature in text format.,Various
117,Firmware Binary,.bin,Firmware,Cross-platform,Binary,No,Critical,Generic binary firmware file. Contains firmware for hardware devices.,Various
118,Firmware,.fw,Firmware,Cross-platform,Binary,No,Critical,Firmware image file. Loaded into hardware devices for operation.,Various
119,Intel HEX,.hex,Firmware,Cross-platform,Text,No,Critical,Intel HEX format. Text representation of binary firmware for microcontrollers.,Various
120,S-Record,.srec,Firmware,Cross-platform,Text,No,Critical,Motorola S-record format. Text format for firmware images.,Various
121,UEFI Firmware,.efi,Firmware,Cross-platform,Binary,No,Critical,UEFI executable. Boot loader or firmware driver for UEFI systems.,/boot/efi/
122,BIOS Image,.rom,Firmware,Cross-platform,Binary,No,Critical,BIOS firmware image. Contains system firmware for motherboard.,Various
123,ACPI Table,.aml,Firmware,Cross-platform,Binary,No,Critical,ACPI Machine Language. Compiled ACPI table for hardware configuration.,Various
124,ACPI Source,.asl,Firmware,Cross-platform,Text,Yes,Medium,ACPI Source Language. Human-readable ACPI table definition.,Various
125,Boot Configuration,.bcd,Boot,Windows,Binary,No,Critical,Boot Configuration Data. Stores boot configuration for Windows Vista+.,C:\Boot\
126,Boot.ini,.ini,Boot,Windows,Text,Yes,Critical,Boot configuration file. Legacy boot configuration for Windows XP and earlier.,C:\
127,GRUB Configuration,.cfg,Boot,Linux,Text,Yes,Critical,GRUB bootloader configuration. Defines boot menu and kernel parameters.,/boot/grub/
128,GRUB2 Config,.grub,Boot,Linux,Text,Yes,Critical,GRUB2 configuration file. Modern GRUB bootloader settings.,/etc/default/
129,LILO Configuration,.conf,Boot,Linux,Text,Yes,Critical,LILO bootloader configuration. Legacy Linux boot loader settings.,/etc/
130,U-Boot Script,.scr,Boot,Embedded,Binary,No,Critical,U-Boot boot script. Compiled boot commands for embedded systems.,Various
131,Device Tree,.dtb,Boot,Linux,Binary,No,Critical,Device Tree Blob. Hardware description for ARM/embedded Linux systems.,/boot/
132,Device Tree Source,.dts,Boot,Linux,Text,Yes,High,Device Tree Source. Human-readable hardware description.,Various
133,RAM Disk,.img,Boot,Cross-platform,Binary,No,High,Initial RAM disk image. Contains temporary root filesystem for boot.,/boot/
134,Initramfs,.cpio,Boot,Linux,Binary,No,High,Initial RAM filesystem. Compressed filesystem loaded at boot.,/boot/
135,Core Dump,.core,Diagnostic,Linux/Unix,Binary,No,Medium,Core dump file. Memory snapshot of crashed process for debugging.,Various
136,Crash Dump,.crash,Diagnostic,Linux,Binary,No,Medium,Kernel crash dump. Contains kernel state after system crash.,/var/crash/
137,Trace File,.trace,Diagnostic,Cross-platform,Text/Binary,No,Medium,Execution trace file. Contains program execution flow for debugging.,Various
138,Profile Data,.prof,Diagnostic,Cross-platform,Binary,No,Low,Profiling data file. Contains performance profiling information.,Various
139,Strace Output,.strace,Diagnostic,Linux,Text,Yes,Low,System call trace. Contains log of system calls made by a process.,Various
140,LTTng Trace,.lttng,Diagnostic,Linux,Binary,No,Medium,Linux Trace Toolkit trace. Contains detailed system tracing data.,Various
141,Perf Data,.data,Diagnostic,Linux,Binary,No,Medium,Linux perf performance data. Contains CPU performance counters and traces.,Various
142,ETW Trace,.etl,Diagnostic,Windows,Binary,No,Medium,Event Tracing for Windows. Binary trace log with detailed system events.,Various
143,WPR Profile,.wprp,Diagnostic,Windows,Text,Yes,Medium,Windows Performance Recorder profile. Defines what data to collect.,Various
144,Performance Monitor,.blg,Diagnostic,Windows,Binary,No,Medium,Performance Monitor log. Binary format containing performance counter data.,Various
145,WinDbg Dump,.dmp,Diagnostic,Windows,Binary,No,Medium,Windows debugger dump. Full or partial memory dump for debugging.,Various
146,Hibernation File,.hiberfil,Power,Windows,Binary,No,Critical,Hibernation file. Contains RAM contents when system hibernates.,C:\
147,Page File,.pagefile,Memory,Windows,Binary,No,Critical,Windows page file. Virtual memory swap space.,C:\
148,Swap File,.swp,Memory,Linux/Unix,Binary,No,Critical,Swap file. Virtual memory space for Linux systems.,/swap/
149,Swap Partition,No extension,Memory,Linux,Special,No,Critical,Swap partition. Dedicated partition for virtual memory.,/dev/
150,Core System Service,.csc,Service,Windows,Binary,No,Critical,Core System Component. Critical Windows system service.,C:\Windows\System32\
151,COM Server,.clb,Component,Windows,Binary,No,Medium,COM Class Library. Contains COM component registration data.,C:\Windows\Registration\
152,Type Library,.olb,Component,Windows,Binary,No,Medium,Object Library. OLE type library for COM objects.,C:\Windows\System32\
153,Object Linking Embedding,.ole,Component,Windows,Binary,No,Medium,OLE object file. Contains embedded or linked object data.,Various
154,Windows Metadata,.winmd,Component,Windows,Binary,No,Medium,Windows Runtime metadata. Describes WinRT components and APIs.,C:\Windows\System32\WinMetadata\
155,Portable Executable,.efi,Boot,Cross-platform,Binary,No,Critical,EFI executable. UEFI boot application or driver.,/boot/efi/EFI/
156,NVRAM Variable,No extension,Firmware,Cross-platform,Binary,No,Critical,NVRAM variable storage. Stores firmware variables and boot settings.,Various
157,GUID Partition Table,.gpt,Partition,Cross-platform,Binary,No,Critical,GPT partition table. Modern partition scheme replacing MBR.,Disk structure
158,Master Boot Record,.mbr,Partition,Cross-platform,Binary,No,Critical,MBR partition table. Legacy partition scheme for BIOS systems.,Disk structure
159,Volume Boot Record,.vbr,Boot,Cross-platform,Binary,No,Critical,Volume Boot Record. First sector of partition containing boot code.,Partition structure
160,Registry Transaction Log,.log,Registry,Windows,Binary,No,Critical,Registry transaction log. Contains pending registry changes for recovery.,C:\Windows\System32\config\
161,Registry Backup,.sav,Registry,Windows,Binary,No,Critical,Registry backup file. Saved copy of registry hive.,C:\Windows\System32\config\
162,Registry Policy,.pol,Registry,Windows,Binary,No,High,Group Policy registry file. Contains policy settings applied via GPO.,C:\Windows\System32\GroupPolicy\
163,Administrative Template,.admx,Policy,Windows,Text,Yes,Medium,Administrative template. XML definition of Group Policy settings.,C:\Windows\PolicyDefinitions\
164,Template Resources,.adml,Policy,Windows,Text,Yes,Medium,Administrative template language file. Localized strings for ADMX templates.,C:\Windows\PolicyDefinitions\en-US\
165,Security Configuration,.inf,Security,Windows,Text,Yes,High,Security template. Defines security policy settings for Windows.,Various
166,Security Database,.sdb,Security,Windows,Binary,No,High,Application compatibility database. Contains compatibility fixes and UAC settings.,C:\Windows\AppPatch\
167,Windows Imaging Format,.wim,Image,Windows,Binary,No,Medium,Windows Imaging Format. Compressed disk image for Windows deployment.,Various
168,Virtual Hard Disk,.vhd,Image,Windows,Binary,No,Medium,Virtual Hard Disk. Disk image format for virtual machines.,Various
169,VHDX,.vhdx,Image,Windows,Binary,No,Medium,Virtual Hard Disk v2. Enhanced VHD format with larger size support.,Various
170,ISO Image,.iso,Image,Cross-platform,Binary,No,Low,ISO 9660 disk image. CD/DVD image file.,Various
171,Squashfs,.squashfs,Filesystem,Linux,Binary,No,Medium,Compressed read-only filesystem. Used in Linux live systems and snap packages.,Various
172,CRAMFS,.cramfs,Filesystem,Linux,Binary,No,Medium,Compressed ROM filesystem. Space-efficient read-only filesystem for embedded systems.,Various
173,JFFS2,.jffs2,Filesystem,Linux,Binary,No,Medium,Journaling Flash File System. Filesystem for NAND and NOR flash memory.,Various
174,UBIFS,.ubifs,Filesystem,Linux,Binary,No,Medium,Unsorted Block Image File System. Modern flash filesystem for Linux.,Various
175,Ext4 Filesystem,.ext4,Filesystem,Linux,Binary,No,Critical,Fourth extended filesystem. Standard Linux filesystem format.,Partition
176,XFS Filesystem,.xfs,Filesystem,Linux,Binary,No,Critical,XFS filesystem. High-performance journaling filesystem.,Partition
177,Btrfs,.btrfs,Filesystem,Linux,Binary,No,Critical,B-tree filesystem. Advanced Linux filesystem with snapshots and RAID.,Partition
178,ZFS Pool,No extension,Filesystem,Linux/Unix,Binary,No,Critical,ZFS filesystem. Advanced filesystem with volume management.,Partition
179,NTFS,.ntfs,Filesystem,Windows,Binary,No,Critical,NT File System. Standard filesystem for modern Windows.,Partition
180,FAT32,.fat32,Filesystem,Cross-platform,Binary,No,High,File Allocation Table 32. Legacy filesystem with wide compatibility.,Partition
181,exFAT,.exfat,Filesystem,Cross-platform,Binary,No,High,Extended FAT. Optimized for flash drives with large file support.,Partition
182,HFS+,.hfsplus,Filesystem,macOS,Binary,No,Critical,Hierarchical File System Plus. Legacy macOS filesystem.,Partition
183,APFS,.apfs,Filesystem,macOS,Binary,No,Critical,Apple File System. Modern macOS filesystem with encryption and snapshots.,Partition
184,ReFS,.refs,Filesystem,Windows,Binary,No,High,Resilient File System. Modern Windows filesystem with integrity features.,Partition
185,Metadata,.metadata,Various,Cross-platform,Binary,No,Medium,Metadata file. Contains information about other files or system state.,Various
186,Thumbs Database,.db,Cache,Windows,Binary,No,Low,Thumbnail cache. Contains cached image thumbnails for Windows Explorer.,Various
187,Desktop Database,.ini,Cache,macOS,Binary,No,Low,Desktop database. macOS Finder metadata cache.,Various
188,Trash Metadata,.trashinfo,System,Linux,Text,Yes,Low,Trash metadata. Contains information about deleted files in Linux trash.,~/.local/share/Trash/
189,Recycle Bin,.bin,System,Windows,Binary,No,Low,Recycle Bin data. Contains deleted file information.,C:\$Recycle.Bin\
190,Alternate Data Stream,:.ads,NTFS,Windows,Various,No,Medium,NTFS Alternate Data Stream. Hidden data attached to NTFS files.,Various
191,Junction Point,No extension,NTFS,Windows,Special,No,Medium,NTFS junction. Directory symbolic link for NTFS filesystem.,Various
192,Symbolic Link,.symlink,Filesystem,Cross-platform,Special,No,Medium,Symbolic link. Pointer to another file or directory.,Various
193,Hard Link,No extension,Filesystem,Cross-platform,Special,No,Medium,Hard link. Additional directory entry for existing file.,Various
194,Socket File,.sock,IPC,Linux/Unix,Special,No,Medium,Unix domain socket. Endpoint for inter-process communication.,/var/run/
195,Named Pipe,.pipe,IPC,Linux/Unix,Special,No,Medium,Named pipe (FIFO). One-way inter-process communication channel.,Various
196,Block Device,No extension,Device,Linux/Unix,Special,No,Critical,Block device file. Interface to block storage devices.,/dev/
197,Character Device,No extension,Device,Linux/Unix,Special,No,Critical,Character device file. Interface to character-based devices.,/dev/
198,Loop Device,.loop,Device,Linux,Special,No,Medium,Loop device. Makes file appear as block device for mounting.,/dev/
199,RAM Disk Device,.ram,Device,Linux,Special,No,Medium,RAM disk device. Block device stored in RAM.,/dev/
200,Temporary File,.tmp,Temporary,Cross-platform,Various,No,Low,Temporary file. Short-lived file for intermediate processing.,/tmp/ or C:\Windows\Temp\
201,Backup File,.bak,Backup,Cross-platform,Various,No,Low,Backup file. Copy of original file for recovery purposes.,Various
202,Old File,.old,Backup,Cross-platform,Various,No,Low,Old version file. Renamed original before update.,Various
203,Lock File,.lock,IPC,Cross-platform,Text,No,Medium,Lock file. Prevents simultaneous access to resource.,Various
204,PID File,.pid,System,Linux/Unix,Text,Yes,Medium,Process ID file. Contains PID of running daemon.,/var/run/
205,Session File,.session,System,Cross-platform,Binary,No,Medium,Session data file. Contains user session state information.,Various
206,Cache File,.cache,Cache,Cross-platform,Binary,No,Low,Generic cache file. Stores temporary computed data for performance.,Various
207,Index File,.idx,Database,Cross-platform,Binary,No,Medium,Index file. Database index for faster lookups.,Various
208,Journal File,.jnl,Database,Cross-platform,Binary,No,High,Journal file. Database transaction log for recovery.,Various
209,Write-Ahead Log,.wal,Database,Cross-platform,Binary,No,High,Write-Ahead Log. Database transaction log used by SQLite.,Various
210,Shared Memory,.shm,Database,Cross-platform,Binary,No,Medium,Shared memory file. Database shared memory segment.,Various
211,Plain Text,.txt,Document,Cross-platform,Text,Yes,Low,Unformatted text file. Contains plain ASCII or Unicode text without styling.,Various
212,Rich Text Format,.rtf,Document,Cross-platform,Text,Yes,Low,Rich Text Format. Text document with basic formatting that's cross-platform compatible.,Various
213,Markdown,.md,Document,Cross-platform,Text,Yes,Low,Markdown document. Lightweight markup language for formatted text using plain text syntax.,Various
214,reStructuredText,.rst,Document,Cross-platform,Text,Yes,Low,reStructuredText. Markup language used primarily in Python documentation.,Various
215,AsciiDoc,.adoc,Document,Cross-platform,Text,Yes,Low,AsciiDoc markup. Advanced plain text format for technical documentation.,Various
216,Org Mode,.org,Document,Cross-platform,Text,Yes,Low,"Emacs Org mode file. Plain text format for notes, planning, and authoring.",Various
217,LaTeX Document,.tex,Document,Cross-platform,Text,Yes,Low,LaTeX source file. Markup language for high-quality typesetting and document preparation.,Various
